image,description,display name,category
13391.jpg,"Composition Pink check shirt with white and green accents, made of 100% cotton, has full sleeves with buttoned cuffs, tipped collar with a buttoned front placket, two patch pockets on the chest with patch detailing and a curved hem Fitting Comfort Wash care only hand wash in cold water using a mild detergent Wash dark colours separately Do not bleach, wring or tumble dry Flat dry in shade Mild iron, and do not iron on print/embellishment/embroidery Perfect on style and great in comfort, this checked shirt from united colors of benetton is sure to quickly elevate into a wardrobe favourite as that perfect casual wear. The sleeve design and attention to detail oozes comfort, while the fabric is sure to keep you fresh all day. Team this with slim jeans or simple chinos for a knockout style. Model statistics The model wears size M in shirts Height-5.11"", Shoulders-18.5""",United Colors of Benetton Men Check Pink Shirts,Shirts
15196.jpg,"Composition Blue round neck T-shirt with blue and turquoise stripes, made of 100% compact cotton, has a ribbed collar, short sleeves, branding on the left sleeve and club branding in flock print on the left chest Fitting Regular Wash care Gentle machine wash with cold water using a non-chlorine detergent Wash dark colours separately Do not bleach or wring Tumble dry low Dry inside out in shade Medium heat steam iron  do not iron on decorations Don that sporty look in ease with this striped polo neck T-shirt from the arrow sport collection. Crafted from pure cotton and designed for yachting fans, this tee offers exemplary comfort and is sure to become a wardrobe favourite. Team it with jeans and sports shoes . Model statistics The model wears size M in t-shirts Height: 6', Shoulders: 18""",Arrow Sport Men Stripes Blue Tshirts,Tshirts
32308.jpg,-,Q&Q Women Pink Dial Watch,Watches
38753.jpg,"Style Note  Carrying around a trendy and fashionable bag is not just about completing your outfit, you can also use your bag to make a style statement. This super cool and colourful choice from nike is a must have for your summer and monsoon collection. In evergreen black, you can pair the bag with bright summery colours and match your shoes and accessories with your bag.   Product Details  A black, half moon shaped, sling bag One adjustable fabric sling to wear it across your shoulders or swing it one side One main compartment with an internal zipped pocket and nylon lining One zipped pocket in front with a pink Nike swoosh Warranty for manufacturing defects: 6 months (not valid on products with more than 20% discount) Warranty for manufacturing defects: 6 months (not valid on products with more than 20% discount)  Material and Care  100% polyester exterior, 100% nylon lining Do not machine wash or dry clean Do not bleach or iron Wipe with a damp cloth when necessary and line dry   Size  Height: 25 cm Width: 43 cm Depth: 3.5 cm",Nike Women Black Sling Bag,Handbags
48454.jpg,"Style Note french connection tees indulge in a minimalist uncomplicated aesthetic. Layer this under a tailored blazer and fitted chinos, or for a pared down look, we recommend a fitted pair of denims with no distressing or wash. Style this with low top shoes without socks for maximum effect. Product Details White T-shirt, has a round neckline, short sleeves and graphic print on the chest with branding Material and care 100% cotton Machine wash cold Do not bleach or tumble dry Use cool iron Size and Fit Regular fit The model (height 6' and shoulders 18"") is wearing a size M",French Connection Men White Printed T-shirt,Tshirts
3673.jpg,"Composition White tennis shoes made of high peel PU, perforated upper, phylon midsole and rubber outsole shoe care 1. Rub surface with clean, damp cloth to remove dust 2. Do not machine wash Look great on the tennis court in this pair of white shoes from fila. The white perforated upper ensures superior breathability and protection, while the cushioned insole, collar and tongue snugly Fit around the feet, adding to the comfort factor. The overall design of the upper promotes stability, while the lightweight phylon midsole has a greater capacity for shock absorption. The grey rubber outsole with subtle grooves enhances good grip on the tennis court, protecting your feet from injuries.",Fila Men's Speed Fire White Black Shoe,Sports Shoes
15778.jpg,"Composition Pack of two jerseys Steel grey jersey brief made of 100% premium cotton, has a wide comfortable elasticated waistband with an appliqued brand tab, high cut design and printed label on the inner   Fitting  Mid rise   Wash care  Machine wash warm at 40 degrees with like colours Do not bleach Tumble dry low Dry cleanable  This mid-rise brief from facit is crafted using pure cotton in a jersey knit that lets the fabric contour your hips and allows you to stretch in ease. The wide fabric covered waistband offers a perfect Fit, while the printed label on the inside provides abrasion-free comfort.   Model statistics  Product is a size M on a model with waist 34"" and hips 38""",Facit Men Mid- Rise BF Grey Briefs,Briefs
49704.jpg,Dark blue tie with light blue dot patterns all over A loop behind the broad tongue to tuck the smaller end in,Park Avenue Men Blue Tie,Ties
18598.jpg,"Walk through your everyday casual hours in perfect comfort in this pair of Drifter cat slippers from puma. With an ergonomically curved and padded footbed, and a grippy outsole, stay safe and comfortable on all kinds of smooth surfaces.  Upper Wide synthetic leather straps with a toe separator and inner lining in twill tape Ergonomically padded footbed for all day comfort puma branding on the forefoot and heel  Outsole TPR outsole with diagonal grooves for absolute grip and traction  Slipper Care Wipe surface with a clean, damp cloth Do not store in direct sunlight",Puma Men Navy Blue  Drifter Cat Flip flops,Sports Sandals
37167.jpg,"The grey waistcoat has a buttoned placket, insert pockets on the side and an adjustable buckle at the back.",United Colors of Benetton Boys Check Grey Waistcoat,Waistcoat
4316.jpg,"Composition Black round neck t-shirt in 100% cotton, with chest print Fitting Comfort Wash care Machine wash separately in cold water Use mild detergent Do not bleach Avoid soaking Remove promptly Line dry inside out in shade Warm iron only Do not iron directly on print/embroidery Bring out the winner attitude in your kid with this cool black tee from tantra. The tic tac toe graphic on the chest appeals to both young and old ones alike. Team this with denim shorts or cargoes and crocs when you take your kid for outings.",Tantra Kid's Unisex Play To Win Black Kidswear,Tshirts
54517.jpg,White shoe with central lace-ups for customised Fit Has perforations for ventilation and synthetic upper Has a padded tongue and inner and brand name on the tongue Lightweight TPR outsole with nubs,F Sports Men White Bratt Sports Shoes,Sports Shoes
9093.jpg,bag care Rub surface with dry clean cloth to remove dust and dirt Use a mild leather cleaner,Murcia Women Brocade Clutch,Handbags
58513.jpg,"Knitted off-white top with maroon print, V-neck wrap with empire line, extended sleeves with a cut out design and gathers tied with a draw string, elasticated band on the hemline",Tonga Women Maroon Top,Tops
16398.jpg,"Composition Green and white striped shirt made of 100% cotton, has full sleeves, spread collar with a full front button placket, pocket on the left chest, and a curved hem   Fitting  Regular   Wash care  Machine wash with warm water Do not bleach Tumble dry Warm iron  This Levi's cotton shirt traces a relaxed silhouette flattering all body shapes to make you look your casual best. This off-duty essential is a must-have for the modern urban male. Pair these with jeans and sneakers to complete your look.   Model statistics  Product is a size M on a model of height 6' and shoulders 18.5""",Levis Men Green & White Striped Shirt,Shirts
49761.jpg,"Style Note leggings are an important part of a girl's wardrobe. This legging from vishudh is crafted from soft cotton fabric, designed to provide absolute comfort and perfect Fit. Pair it with short or long kurta and ballerina flats for the perfect look. Product Details White leggings with a soft elastic waistband Material and Care 100% cotton Wash in cold water with mild detergent Do not bleach Warm iron Size and Fit Regular Fit The model (height 5'8"" and waist 28"") is wearing a size 28",Vishudh White Leggings,Leggings
7363.jpg,"Tapering toed, black semi formal shoes with stitched detail down centre Leather upper with a mock strap held in place with a Velcro closure and reinforced heel collar Smooth footbed with a brand patch at the heel region Tough outsole with a stacked heel Warranty: 3 months Warranty provided by the brand owner / manufacturer",Red Tape Men Black Semi Formal Shoes,Formal Shoes
21313.jpg,"Take shade behind these sunglasses from celine dion eyes for an A-lister appeal. Give your outfits a fresh lift with this versatile pair. Crafted with toned down glam, these shades are perfect for protecting your eyes from harmful sun rays, be it on your sun deck or on your bike!  Tinted lens for use in normal daylight conditions 100% UV protection Plastic frame in an aerodynamic design Fixed nose holder to hold the glasses in place, ensuring there is no friction with the skin Oval lens for absolute style and protection from elements Flexible hinges for durability and ease of wear   Care  Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner Do not use your fingers on such stains Do not place glasses on uneven surface or heated areas like the dashboard of a car",Celine Dion Women Black Frame Sunglasses,Sunglasses
40544.jpg,-,Titan Raga Women Black Dial Watch,Watches
4672.jpg,"Product Specification Made of 100% polyester, with mesh back padding Roomy inner compartment to hold all essentials Discreet sub compartment inside to stow away valuables Front pocket to hold all essentials Seperate bottom zippered compartment with mesh panel to hold footwear Mesh pocket on the side to hold sipper Nylon bonded thread for long life Haul loop for handling ease Padded, adjustable shoulder straps that distribute weight evenly and protect the shoulders and back from injuries Ergonomic design to Fit the torso comfortably ClimaCool technology on the back and shoulder straps to keep heat and sweat away from your body and regulate body temperature with combination of 3D foam, mesh and ventilation channels Wash care Do not machine wash Rub surface with dry clean cloth to remove dust and dirt",ADIDAS C365 Dark Navy Black Unisex Backpack,Backpacks
24360.jpg,"Composition Black printed kurta made of 100% cotton, has a mandarin neck with a split neckline, ruffles on the shoulder and chest, three-quarter sleeves and a vented hem Fit Regular Wash care Wash dark colours separately Do not bleach Dry inside out in shade Warm iron The inspiration for this kurta from folklore for women is the retro-esque fusion of the uniquely ethnic with smart workwear. The label combines the quirky street style of India's biggest metros with classic silhouettes. This piece epitomizes how fashion, vintage styling and comfort unite to create the perfect Indian tunic. Those interested in colour blocking can wear this with bright contrasting capris or pants. Others who want to keep their look classic and chic can pair this with tonal leggings, and embellished slippers. Model statistics The product is a size M on a model of height 5'8"" and chest 33""",Folklore Women Black Printed Kurta,Kurtas
13502.jpg,"Composition Light blue round neck T-shirt made of 100% organic cotton, has fabric tape detailing on the inseam of the neckline, short sleeves and brand logo below the nape of the neck Fitting Regular Wash care Wash in cold water Dry in shade Iron on reverse of design Beat the rat race and still hold your head high - higher than the sky. Celebrate your victory with a spunk by slipping into this T-shirt from chimp. Pair this cotton tee with denims and canvas shoes for a great casual look. Model statistics The model wears size M in t-shirts Height-6'3”, Shoulders-19""",Chimp Men Baloon Boy Blue Tshirts,Tshirts
46691.jpg,Style Note rasasi impresses and flatters your senses with their unique fragrances that last long and keep you smelling fresh. These are fragrances that will please the royals just as it would appeal to your more earthy senses. Each and every one of their perfumes are keepers.   Product Details Rasasi Instincts is a perfume spray for women which comes in an elegant flask   Size 50 ml,Rasasi Women Instincts Perfume,Perfume and Body Mist
57558.jpg,Kiss proof and long lasting lip colour with botanical extracts of aloe vera and avacado,Lotus Herbals SPF-10 Rose Mary Lipstick 411,Lipstick
10175.jpg,"If you thought that casual shoes are just casual, think again! These shoes from the United Colours of Benetton are casual with a funky, hip twist. Super light and drop-dead gorgeous, they have an air chamber which gives you more cushioing and comfort. Hang out with the cool gang in them, and you will easily become the coolest member of the group! Look stylish and wow in these comfortable shoes all day long.  Upper  Synthetic upper with nubuck and synthetic leather overlays for added durability, structure and style  Mid-cut design for ankle support and lateral stability Lace-up system with synthetic laces for a snug, customized Fit Lushly padded tongue and well-cushioned collar for in-step comfort   Midsole  Phylon midsole for lightweight responsive cushioning and shock absorption Cushioned footbed for all-day comfort Air cushioning in the heel for better shock absorption   Outsole  TPR outsole for better shock absorption and durability Waffle-pattern grip for excellent traction Casing around the air cushioing chamber   shoe care  Wipe surface with soft, clean, dry cloth to remove dust Do not machine wash Do not store in direct sunlight",United Colors of Benetton Men Wango Black Casual Shoes,Casual Shoes
2180.jpg,"Composition This orange and navy blue broad horizontal stripe half sleeve polo neck t-shirt is made of 100% cotton Fitting Slim Care Machine Wash separately in cold water, use mild detergent. Do not Bleach. Avoid Soaking. Remove promptly.Line Dry inside out in shade. Warm iron only. Do Not Iron Directly on Print/embroidery. Action A casual t-shirt, wear it with any color denim, while going out with friends or just a casual get-together. Model statistics The model wears size M in t-shirts Height-5.11"", Shoulders-17.5""",Probase Mens Probase Orange Stripe Polo tee T-shirt,Tshirts
40013.jpg,"Style Note park avenue provides the stylish man-about-town with all the essentials he needs to look his best. Wear these park avenue sunglasses to look stylish while out and about in the sunshine. Product Details Lens colour: Brown Lens style: Tinted Frame colour: Black Frame type: Half plastic frame with acrylic arms and branding on the arms Flexible hinges for Fit The glasses come in a leather-look case with branding on the front and a zip fastening, cloth included to clean the lenses Material and Care Plastic Remove dust and grime by gently wiping the lens with the cloth provided Remove oil or tough stains with the help of a lens cleaner and do not use your fingers Do not place your glasses on uneven surfaces or heated areas (like a dashboard) Size Lens width: 65 mm",Park Avenue Men Black Frame Sunglasses,Sunglasses
27539.jpg,"Composition Green and blue check shirt made of a cotton blend fabric, has short sleeves with a buttoned tab, cut away collar, a buttoned front placket, a patch pocket on the left chest with a buttoned closure and a curved hem Fit Slim Wash care Delicate machine wash at 30 degrees using mild detergent Do not dry clean, tumble dry, wring, scrub or bleach Dry flat in shade Warm iron; do not iron directly on decoration This shirt from scullers adds a fresh twist to everyday clothingt. You'll look dapper in this beautifully designed shirt, while the fabric keeps you fresh and the cut offers a flattering silhouette. Pair it with denims, leather shoes and classy accessories. Model statistics Product is a size M on a model of height 6' and shoulders 18""",Scullers Men Check Green & Blue Shirt,Shirts
55810.jpg,"Cream top with short sleeves, grey piping, print on the chest, V neck. Grey pants with an elasticated waist, two side pockets and a drawstring closure",SDL by Sweet Dreams Women Cream & Grey Night Suit S11-3186,Night suits
10064.jpg,"Composition Mustard yellow round neck t-shirt made of 100% cotton, with brand name printed across the chest and puma Jumping cat logo printed below the nape of the neck Fitting Regular Wash care Gentle machine wash with like colours in cool water at 30 degrees Do not bleach Do not tumble dry Warm iron Do not dry clean Look great on any random day with this cool t-shirt from puma. The pure cotton fabric keeps you fresh and comfortable all day. Pair it with slim Fit denims and canvas shoes to create a  great urbane look. Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",Puma Men puma shield tee Yellow Tshirts,Tshirts
48943.jpg,"Style Note revv is an imported stainless steel collection that suits the trendsetting youth of today - cool college goers, young executives and those who like to remain ahead of the pack. Product Details Flaming star shaped pendant with a gold inset Material and Care High grade stainless steel Wipe with a cotton swob to remove dust",Revv Men Steel Pendant,Pendant
57950.jpg,Pointed toed derbys Brown upper with perforations Central laceups and cording at midfoot Reinforced heel collar with embossed branding at lateral side Semi cushioned footbed with branding TPR outsole with grooves and branding Stacked heel,Clarks Men Brown Formal Shoes,Formal Shoes
33366.jpg,"Toned down glam, with a special occasion twist, this baggit clutch is just right for an evening with the girls, or a surprise dinner. Match the metallic tones on this piece with your pumps and accessories. Dimensions : 11 cm x 30 cm Shiny fabric upper with a fold-over detail that acts as a flap Concealed magnetic button closure One main compartment with lining A zippered pocket and pouches inside One zippered pocket under the flap Care Wipe surface with a damp clean cloth",Baggit Women Hero Brush Brown Clutch,Clutches
55913.jpg,Chip-resistant and prevents yellowing of nails Fast drying and long wearing Simple one stroke application,Colorbar Top Coat Nail Lacquer 69,Nail Polish
44259.jpg,"Yellow, texured leather wallet Left fold with press buttoned flap pocket Multiple card holders and an insert pocket Center fold with main zipped compartment, divided into two, multiple card holders and one mesh net ID card holder Center fold and left fold closed by a flap and press button closure Right fold with one mesh net insert pocket and a press button closure Embossed branding on the front",Hidekraft Women Yellow Wallet,Wallets
6825.jpg,"Here's a performance sandal with hook-and-loop closure to ensure that you get the perfect Fit every time. timberland's Sandal isn't just for schlepping back and forth from the house to the pool - with a compression-molded EVA midsole for comfort and shock absorption and a solid rubber lug outsole that's designed expecially for traction on varied terrain, you'll be wearing these around the campsite and throughout the backcountry. These rugged sandals couldn't be easier to take on and off, and you'll appreciate the lightweight breathability of quality synthetics when you're out enjoying the wind, air and water. Upper Synthetic leather upper for lightweight protection Hook-and-loop adjustable strap closures at two points Removable ankle strap to convert the floaters into slip ons Midsole Compression molded EVA midsole provides lightweight cushioning and shock absorption Outsole Solid rubber outsole with lugs designed for superior traction on trails shoe care Use timberland leather shoe polish to keep your shoes sparkling clean",Timberland Women Nekkol Grey Sports Sandals,Flats
12582.jpg,"Composition White T-shirt made of 100% cotton, has a round neck, short sleeves and graphic print on the front Fitting Comfort Wash care Machine wash cold using a mild detergent Do not soak Dry flat in shade Warm iron If your little one is a foodie, then this t-shirt from tantra is a perfect buy. The graphic print on the chest oozes cheeky attitude. dress your young one in this T-shirt, pair it with jeans and canvas shoes, and go out for a sloppy dinner treat.",Tantra Unisex Printed White Tshirts,Tshirts
8415.jpg,"Composition White top made of 100% cotton, has a round neck and lightly ruffled puffed sleeves with orange piping, chest print with light metal embellishments, stitch detailing on the sides in the front and back and small butterfly print below the nape of the neck Fitting Regular Wash care Machine wash in cold water with like colours in a delicate cycle Do not bleach Tumble dry low or lay flat to dry Warm iron when needed Do not iron on print Transform your little darling into a princess with this top from doodle. The lightly puffed and ruffled sleeves and chest print add an element of sweetness, while the cotton fabric keeps her fresh and comfortable all day. Pair this top with a tiny skirt and colourful slippers to complete her princess look.",Doodle Girl's Hippie Chic White Teen Kidswear,Tshirts
23189.jpg,"Composition Green and black checked shirt made of 100% cotton, has short sleeves, spread collar, front buttoned placket, patch pocket on the left chest and a curved hem Fit Regular Wash care Machine wash at 40 degrees Wash dark colours separately Do not bleach Tumble dry normal or line dry Warm iron Add a work wear inspired element to your off-duty wardrobe with this shirt from a label loved for its structured tailoring - highlander. Style this with a leather jacket and form fitting denims to turn heads at upscale weekend dos. Alternatively, you can also wear this with your favourite jeans and casual shoes. Model statistics The product is a size M on a model of height 6' and shoulders 18""",Highlander Men Green Check Shirt,Shirts
52905.jpg,"Mustard yellow and red sari with bandhani print and border, has silver embroidery work The model is wearing a blouse from our stylist's collection, see the final image for a mock-up of what the actual blouse would look like",FNF Yellow and Red Printed Bandhani Sari,Sarees
9619.jpg,"Composition Dark blue and grey check shirt with yellow and white accents, made of 100% cotton, has a tipped collar, front buttoned placket, short sleeves, pockets on either chest with buttoned flaps and a curved hemline   Fitting  Regular   Wash care Wash dark colours separately Hand wash or machine wash cold using mild detergent Do not wring or bleach Flat dry in shade Do not iron on print  Checks that add immense style to your casual look is what indigo nation brings into your life. Be the cynosure of all eyes in this stylish shirt, while the fabric keeps you fresh and comfortable all day. Pair it with formal pants, denims or corduroys and black footwear for stylish formal and casual looks.   Model statistics The model wears size 40 in shirts Height: 6’1”; Chest: 38.5”; Shoulders: 18.5”",Indigo Nation Men Checks Blue Shirt,Shirts
13751.jpg,"Composition Blue, green, white and brown striped shirt made of cotton, that has long sleeves with buttoned cuffs, spread collar with tape detailing on the inseam, front buttoned placket with contrast facing panel, patch pocket on the upper left chest with embroidered brand name and curved hem   Fitting  Regular   Wash care  Delicate machine wash Do not tumble dry Turn inside out and dry in shade Warm iron, but do not iron on print/embroidery  Update your casual style with this striped shirt from belmonte. The blue, green, white and brown stripes adds interest to the shirt, while the fabric keeps you feeling fresh and comfortable all day long. Team this with pants and leather shoes for a well groomed look.   Model statistics  The model wears size M in shirts Height-6'3”, Shoulders-19""",Belmonte Men Stripes Blue Shirts,Shirts
12415.jpg,"Crafted from soft leather, this brown wallet from Reid and Taylor is a fabulously stylish way to keep your money and cards safe and secure. With a smooth finish, this bi-fold wallet has an embossed branding on the upper and lots of inner storage making it perfect for everyday use. Dimensions : 11.5 cm X 9 cm Leather for flexibility and suppleness Two main compartments with fabric inner lining Multiple partitions on the two front halves to stash away cards and coins Care Wipe surface with a dry, clean cloth to remove dust",Reid & Taylor Men Casual Brown Wallets,Wallets
18405.jpg,"In a low profile silhouette with absolute visual appeal, this shoe from skechers makes for a perfect addition to your casual wardrobe. The smooth leather and suede upper with stitch detailing gives it a rugged look, making it a fab buy.   Upper  Smooth leather upper with suede overlays on the sides of the midfoot Lacing system for a snug, customised Fit Padded tongue and collar for all-day comfort Relaxed Step footbed for all-day ergonomically padded comfort   Midsole  EVA midsole for impact protection   Outsole  TPR outsole with strategically placed multi-directional lugs throughout for absolute grip and traction   Shoe care  Wipe surface with a clean, dry cloth to remove dust Use a branded leather conditioner if needed Do not store in direct sunlight",Skechers Men USA Brown Shoe,Casual Shoes
5006.jpg,"Composition White and orchid pink floral pink blouson sleeveless top with white lining made of 100% cotton, chiffon blouson outer layer and orchid pink satin choker collar Fitting Regular Chest - 33 cm  Wash care Machine wash Cold water Wash with like colours Wash/dry inside out Use mild detergents Do not tumble dry Use warm iron Do not iron on decor Remove all detachable accessories Get ready to indulge your little girl in the spirit of spring with this floral top from gini and jony. The soft chiffon blouson top with the rose print is totally dainty and girly. Team this with a short denim skirt or white skirt and comfy crocs footwear for a happy, casual outing with her small buddies, while the soft fabric stays soft on her skin and keeps her fresh and comfortable all day.",Gini and Jony Girl's Farica Green Kidswear,Tops
12793.jpg,"Composition Maroon round neck T-shirt made of 57% cotton, 39% polyester and 4% spandex Dri-Fit fabric, that has ribbed round neckline, short sleeves and slightly distressed look graphic print on the front Fitting Comfort Wash care Machine was cold Wash separately with like colours Do not use softeners Remove immediately Do not allow to lay on itself when wet Do not bleach, iron Do not dry clean Line dry Update your casual style with this round neck T-shirt from nike. The Dri-Fit fabric keeps you feeling fresh and comofrtable all day by wicking sweat away from the body, while the distressed look graphic print with the words ""Just do it"" gives you an added edge. Team this with jeans and sneakers for a casual look.",Nike Women Blue Grafitti Maroon Tshirts,Tshirts
25643.jpg,"Taking traditional designs and giving them a modern twist is what makes fastrack watches irreplaceable timepieces. This watch refuses to conform, with its stylish dial and minimalist design, backed up by a steel case for optimal performance. Wear this with trendy, casual ensembles - colour-pop tees, denims and sports shoes . Case diameter : 40 mm Case thickness : 5 mm Dial shape : Square Steel case with a fixed bezel for added durability, style and comfort Rubber strap with an embossed design and a tang clasp for comfort and style Silver, grey and red dial with branding between the 8 and 9 hour marks and brand logo between the 10 and 11 hour marks Quartz movement of time display Screw to reset time Solid case back made of stainless steel for enhanced durability Water resistance up to 50 meters, allowing you to use it even when showering",Fastrack Men Silver Casual Watch,Watches
6272.jpg,"Composition Grey V-neck t-shirt made of 100% cotton, with short sleeves, ribbed cuff with tipping, snipped edges around neckline, tape detailing on the inside of neckline and patch pocket on left chest Fitting Comfort Wash care   Gentle machine wash in cool water at 30 C  Use mild detergent  Do not scrub  Do not bleach  Do not tumble dry  Do not wring  Do not dry in direct sunlight  Warm iron  Do not iron directly on print/embroidery  Wash, dry and iron inside out  Do not dry clean   Subtly stylish, this smart grey tee from united colors of benetton is all that you need to grab the attention wherever you go. While the V-neck accentuates your neckline, the cotton fabric keeps you fresh all day. Team this with jeans and sports shoes for that uber cool look. Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",UCB Men's Contrast Rib Grey T-shirt,Tshirts
44397.jpg,Style Note Sporty fashion never looked this good! This pair of performance oriented force 10 shoes is the right choice to complement your casual weekend wear. The brand's shoes have always made the cut when it comes to off-duty dressing - this pair refines that look for you. This shoe is also great for a fun run in the sun! Product Details Navy blue round toed shoe with a tough fabric upper Has central lace-ups with a padded tongue and inner Has a haul loop at the heel with branding at the upper midfoot Thick foamy rubber midsole TPR outsole with aggressive lugs and an upraised heel Material and Care Fabric Wipe with clean dry cloth to remove dust Do not machine wash,Force 10 Men Navy Blue Sports Shoes,Sports Shoes
23120.jpg,Black coloured flip flops Thong style upper with a simple pattern and branding on the strap Textured footbed with printed branding Rubber outsole with grooves,Converse Unisex Black Basic Flip Flops,Flip Flops
26025.jpg,Slazenger is a perfumed deodorant for men which comes in an easy aerosol spray canister,Slazenger Men Sprint Deo,Deodorant
50349.jpg,"Red kurta, embroidery in front, woven, round split neck with blue facing and faux placket with buttons, three quarter sleeves with blue taping at hem and a vented hem ",Aurelia Women Red Kurta,Kurtas
8372.jpg,"Composition Teal blue crew neck top made of 100% cotton, with roll designed short sleeves that have a cut, and print on the front with sequins work Fitting Regular Wash care Machine wash in cold water with like colours in a delicate cycle Do not bleach Tumble dry low or lay flat to dry Warm iron when needed Do not iron on print Transform your little darling into a princess with this crew neck top from doodle. The rolled sleeves and chest print add an element of sweetness, while the cotton fabric keeps her fresh and comfortable all day. Pair this top with a tiny skirt and colourful slippers to complete her princess look.",Doodle Girl's Dont Worry Hippie Teal Blue Kidswear,Tshirts
20259.jpg,"Composition White polo t-shirt with thin blue and mustard stripes made of 100% cotton, has a ribbed  collar, short sleeves with ribbed cuffs, buttoned chest placket, branding embroidered on the right chest, brand collection stitched on the left chest and a vented hem Fit Regular Wash care Machine wash inside out with like colours using a mild detergent Do not bleach or wring Tumble dry or flat dry in shade Warm iron; Do not iron on decorations Don that sporty look with ease with this polo t-shirt from wrangler. Crafted from a soft cotton fabric and designed for style, this tee offers exemplary comfort and is sure to become a wardrobe favourite. Team it with jeans and sports shoes . Model Statistics Product is a size M on a model of height 6' and shoulders 18”",Wrangler Men Polo White T-shirt,Tshirts
21322.jpg,Lens colour: Brown Lens type: Distortion-free lens Frame colour: Red Frame type: Plastic frame High bridge and fixed nose holders Comes in a case,Louis Philippe Men Sunglasses LP045-C3,Sunglasses
3207.jpg,"Composition Black round neck t-shirt in 100% cotton with chest print Fitting Comfort Washcare   Machine wash separately in cold water  Use mild detergent  Do not bleach  Avoid soaking Remove promptly  Line dry inside out in shade  Warm iron only  Do not iron directly on print/embroidery   Are you really mad that there's not much being done quick enough to save the tigers? Well, bring out the cynic in you in full blast with this black t-shirt from tantra, while you do your bit to protect the wild cat. Model statistics The model wears size M in t-shirts Height-5.7"", Chest-32"", Waist-26""",Tantra Women's Tiger Black T-shirt,Tshirts
34393.jpg,"Style Note Spun from our irresistibly soft cotton, this is a blissfully cosy T-shirt. Sporting a print on the chest, this tee from myntra gives a fresh twist to an off-duty staple making it ideal for your cool summer wardrobe. Style it with shorts or jeans, understated accessories and lace up casual shoes for perfect man-about-town nonchalance   Product Details Red T-shirt has a round neck, short sleeves and has graphic print on the front   Material and Care 100% cotton Wash in cold water with like colours using a mild detergent Do not bleach, soak or wring Warm iron on reverse   Size and Fit Regular The model (height 6' and shoulders 18"") is wearing a size M",Myntra Men Red Skull Gambling T-shirt,Tshirts
28902.jpg,"Red bikini briefs made of cotton/Lycra fabric, has an elastic waistband, low rise styling and printed label on the inner  Fit Low rise  Wash care Machine wash warm at 40 degrees with like colours Do not bleach, iron Tumble dry low  This pair of bikini briefs from enamor is crafted using premium cotton fabric that provides quick dry breathability and no visible panty line. The cut allows free leg movement, the fashion elastic with cushioning enhances a luxurious feel and look, the no pinch elastic and printed label on the inside both provide irritation-free comfort.  Model statistics Product is a size M on a model of waist 26""",Enamor Women Red Low-Rise Bikini Brief,Briefs
25488.jpg,Get ready to move in style with these Backboard shoes from nike. The sleek design of these shoes makes it possible to pair it up with jeans and t-shirts for a cool casual look. Upper Synthetic uppers for protection and durability Perforations that act as design features and allow for greater breathability on the toebox Lace-ups for snug Fit Cushioned collar and tongue for greater comfort Appliqued logo on the sides Brand name appliqued on the tongue and printed behind the collar Midsole Cushioned footbed for all day comfort Full-length EVA midsole for cushioning Outsole Outsole with pivot points and circular grooves for greater grip and easy 180 degree movement shoe care Do not machine wash Remove dust and dirt with damp clean cloth Do not store in direct sunlight,Nike Men Backboard Black Casual Shoes,Casual Shoes
47170.jpg,"Style Note Designed for those who never compromise on comfort and style, this sandal from ganuchi is a great buy. Slip into it and pair it with jeans and casual T-shirts for unparalleled cool.  Product Details Round open toed brown slip on sandals Leather upper which covers the forefoot and midfoot region, has stitched detail, cut outs on the side and elasticated insert in the centre Soft footbed and soft inner lining Upper stitched to the outsole Tough rubber outsole with grooves   Material and Care Leather Wipe surface with a dry, clean cloth to remove dust and dirt Use a branded leather conditioner to maintain the shine",Ganuchi Men Brown Sandals,Sandals
29238.jpg,"Wide Fit Inspired from the famous 22YDS series, this shoe is great for the amatuer cricketer &    fan. Upper Synthetic leather upper for comfort and durability Perforated for ventilation TPU moulded stripes for support &    style Lace-up for snug fit Brand name embossed on the tongue Patented adidas 3-stripes for style Meshed and padded tongue Midsole Injection EVA midsole for lightweight cushioning Outsole Aggressive rubber outsole, SPEED GRIP for maximum traction &    agility",ADIDAS Men 22YDS Trainer White Sports Shoes,Sports Shoes
5084.jpg,"Composition Black V-neck t-shirt made of 100% cotton, with grey ribbing around the neckline, grey raglan sleeves, and graphic and felted outlines on the front Fitting Slim Wash care   Hand wash in cold water  Do not machine wash  Wash dark colours separately  Use mild detergent  Do not bleach  Do not wring  Do not tumble dry  Flat dry in shade  Mild iron  Do not iron on print/embellishment/embroidery   Get into the travel mode with this black tee from wrangler. The graphic on the front is inspired by long journeys and neon motel signs on the roadside. Team this tee with jeans and rugged shoes for casual outings with friends, while the cotton fabric keeps you dry and comfortable through all seasons. Add on a pair of stylish footwear from the wide international range available at myntra and stay cool and comfortable through all seasons in this pure cotton tee. Model statistics The model wears size M in t-shirts Height-6', Shoulders-18""",Wrangler Men's Motel Color Black T-shirt,Tshirts
